id,timestamp,location_timestamp,sim_id,technology,band,ul_arfcn,dl_arfcn,code,ul_bw,dl_bw,plmn_id,lac,rac,cell_id,param1,param2,param3,param4,param5,info,lifetime,source_id,frame_type,node_id,is_synced
173433,73603671235231744,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10584,3,0,0,0
173434,73603671755456512,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9919,3,0,0,0
173435,73603672318083072,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10785,3,0,0,0
173436,73603672789680128,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8933,3,0,0,0
173437,73603673304858624,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10365,3,0,0,0
173438,73603673855754240,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10122,3,0,0,0
173439,73603674415955968,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10640,3,0,0,0
173440,73603674591741314,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,4291,1,45250,0,0
173441,73603674899218432,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,4815,3,0,0,0
173442,73603675449786368,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10512,3,0,0,0
173443,73603676000354304,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10751,3,0,0,0
173444,73603676551053312,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10245,3,0,0,0
173445,73603677023043584,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9025,3,0,0,0
173446,73603677576691712,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10543,3,0,0,0
173447,73603678127390720,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10505,3,0,0,0
173448,73603678599249920,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9008,3,0,0,0
173449,73603679150276608,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10506,3,0,0,0
173450,73603679202818071,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,2046,1,45250,0,0
173451,73603679648153600,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,7445,3,0,0,0
173452,73603680198852608,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10500,3,0,0,0
173453,73603680749486080,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10505,3,0,0,0
173454,73603681221410816,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9011,3,0,0,0
173455,73603681772044288,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10489,3,0,0,0
173456,73603682560245760,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,15179,3,0,0,0
173457,73603683113369600,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10414,3,0,0,0
173458,73603683585294336,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8995,3,0,0,0
173459,73603684011979189,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,9302,1,45250,0,0
173460,73603684135993344,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,1202,3,0,0,0
173461,73603684686561280,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10486,3,0,0,0
173462,73603685158551552,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9243,3,0,0,0
173463,73603685709250560,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10280,3,0,0,0
173464,73603686259884032,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10510,3,0,0,0
173465,73603686732005376,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9012,3,0,0,0
173466,73603687159338339,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,9185,1,45250,0,0
173467,73603687282966528,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,1324,3,0,0,0
173468,73603687786086400,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9578,3,0,0,0
173469,73603688336588800,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10507,3,0,0,0
173470,73603689250357248,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,17703,3,0,0,0
173471,73603689735061504,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,8961,3,0,0,0
173472,73603689779105449,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,2145,1,45250,0,0
173473,73603690292641792,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,8498,3,0,0,0
173474,73603690787635200,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10470,3,0,0,0
173475,73603691338334208,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10101,3,0,0,0
173476,73603691888902144,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9868,3,0,0,0
173477,73603692360892416,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9006,3,0,0,0
173478,73603692911525888,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10512,3,0,0,0
173479,73603693462159360,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10579,3,0,0,0
173480,73603693560404122,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,2917,1,45250,0,0
173481,73603693956431872,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,6430,3,0,0,0
173482,73603694114983492,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,4213,1,45250,0,0
173483,73603694507130880,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,6375,3,0,0,0
173484,73603694978859008,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,8933,3,0,0,0
173485,73603695686844416,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,13483,3,0,0,0
173486,73603696160407552,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9070,3,0,0,0
173487,73603696681943040,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10243,3,0,0,0
173488,73603697232510976,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10160,3,0,0,0
173489,73603697530972062,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,6792,1,45250,0,0
173490,73603697785962496,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,3778,3,0,0,0
173491,73603698257756160,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,8995,3,0,0,0
173492,73603698808455168,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10500,3,0,0,0
173493,73603699359023104,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10538,3,0,0,0
173494,73603699831275520,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,8982,3,0,0,0
173495,73603700382040064,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10515,3,0,0,0
173496,73603700932739072,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10478,3,0,0,0
173497,73603701404598272,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10031,3,0,0,0
173498,73603702037020672,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,11790,3,0,0,0
173499,73603702583656448,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9682,3,0,0,0
173500,73603702739375117,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,4164,1,45250,0,0
173501,73603703103029248,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,5729,3,0,0,0
173502,73603703653597184,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10503,3,0,0,0
173503,73603704125521920,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9233,3,0,0,0
173504,73603704676286464,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10273,3,0,0,0
173505,73603705226919936,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,12132,3,0,0,0
173506,73603705709264896,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,7598,3,0,0,0
173507,73603706259898368,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10471,3,0,0,0
173508,73603706732740608,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9051,3,0,0,0
173509,73603707038143253,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,6897,1,45250,0,0
173510,73603707283374080,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,3575,3,0,0,0
173511,73603707812577280,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,11267,3,0,0,0
173512,73603707795251934,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,343,1,45250,0,0
173513,73603708370092032,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9123,3,0,0,0
173514,73603708920659968,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,13709,3,0,0,0
173515,73603709392650240,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,5813,3,0,0,0
173516,73603709943218176,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,11414,3,0,0,0
173517,73603710434803712,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,9122,3,0,0,0
